province	district	beds_10k
DOLNOŚLĄSKIE	Powiat bolesławiecki	21.25
DOLNOŚLĄSKIE	Powiat dzierżoniowski	20.27
DOLNOŚLĄSKIE	Powiat głogowski	22.17
DOLNOŚLĄSKIE	Powiat górowski	26.49
DOLNOŚLĄSKIE	Powiat jaworski	16.22
DOLNOŚLĄSKIE	Powiat karkonoski	117.9
DOLNOŚLĄSKIE	Powiat kamiennogórski	87.25
DOLNOŚLĄSKIE	Powiat kłodzki	64.58
DOLNOŚLĄSKIE	Powiat lubański	57.42
DOLNOŚLĄSKIE	Powiat lubiński	66.8
DOLNOŚLĄSKIE	Powiat lwówecki	84.02
DOLNOŚLĄSKIE	Powiat milicki	100.36
DOLNOŚLĄSKIE	Powiat oleśnicki	23.23
DOLNOŚLĄSKIE	Powiat oławski	35.42
DOLNOŚLĄSKIE	Powiat strzeliński	27.33
DOLNOŚLĄSKIE	Powiat średzki	16.5
DOLNOŚLĄSKIE	Powiat świdnicki	30.48
DOLNOŚLĄSKIE	Powiat trzebnicki	53.14
DOLNOŚLĄSKIE	Powiat wałbrzyski	3.83
DOLNOŚLĄSKIE	Powiat wołowski	32.88
DOLNOŚLĄSKIE	Powiat wrocławski	2.98
DOLNOŚLĄSKIE	Powiat ząbkowicki	13.19
DOLNOŚLĄSKIE	Powiat zgorzelecki	65.27
DOLNOŚLĄSKIE	Powiat złotoryjski	52.38
DOLNOŚLĄSKIE	Powiat m.Jelenia Góra	80.09
DOLNOŚLĄSKIE	Powiat m.Legnica	58.12
DOLNOŚLĄSKIE	Powiat m.Wrocław	83.03
DOLNOŚLĄSKIE	Powiat m.Wałbrzych	68.64
KUJAWSKO-POMORSKIE	Powiat aleksandrowski	37.34
KUJAWSKO-POMORSKIE	Powiat brodnicki	20.15
KUJAWSKO-POMORSKIE	Powiat bydgoski	4.74
KUJAWSKO-POMORSKIE	Powiat chełmiński	30.44
KUJAWSKO-POMORSKIE	Powiat golubsko-dobrzyński	49.51
KUJAWSKO-POMORSKIE	Powiat grudziądzki	8.7
KUJAWSKO-POMORSKIE	Powiat inowrocławski	31.13
KUJAWSKO-POMORSKIE	Powiat lipnowski	54.59
KUJAWSKO-POMORSKIE	Powiat mogileński	26.29
KUJAWSKO-POMORSKIE	Powiat nakielski	21.05
KUJAWSKO-POMORSKIE	Powiat radziejowski	66.25
KUJAWSKO-POMORSKIE	Powiat rypiński	44.79
KUJAWSKO-POMORSKIE	Powiat sępoleński	32.5
KUJAWSKO-POMORSKIE	Powiat świecki	30.75
KUJAWSKO-POMORSKIE	Powiat toruński	11.16
KUJAWSKO-POMORSKIE	Powiat tucholski	27.49
KUJAWSKO-POMORSKIE	Powiat wąbrzeski	32.13
KUJAWSKO-POMORSKIE	Powiat żniński	25.18
KUJAWSKO-POMORSKIE	Powiat m.Bydgoszcz	94.73
