date	province	district	infected_total
04.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	0
05.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	0
06.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1
07.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1
08.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	2
09.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	3
10.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4
11.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	4
12.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	7
13.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	8
14.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	13
15.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	15
16.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	27
17.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	38
18.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	40
19.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	53
20.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	58
21.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	66
22.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	79
23.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	101
24.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	134
25.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	150
26.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	165
27.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	193
28.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	214
29.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	234
30.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	258
31.03.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	274
01.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	326
02.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	338
03.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	400
04.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	407
05.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	468
06.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	488
07.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	527
08.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	539
09.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	568
10.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	637
11.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	660
12.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	697
13.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	709
14.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	723
15.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	764
16.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	819
17.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	893
18.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	949
19.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1044
20.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1077
21.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1118
22.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1144
23.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1212
24.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1235
25.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1278
26.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1341
27.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1412
28.04.2020	DOLNOŒL¥SKIE	DOLNOŒL¥SKIE	1461
