district	population	province
Woj. Dolnośląskie                  	2891321	Woj. Dolnośląskie                  
bolesławiecki          	89762	Woj. Dolnośląskie                  
dzierżoniowski         	99935	Woj. Dolnośląskie                  
głogowski              	88447	Woj. Dolnośląskie                  
górowski               	34552	Woj. Dolnośląskie                  
jaworski               	49734	Woj. Dolnośląskie                  
jeleniogórski          	63333	Woj. Dolnośląskie                  
kamiennogórski         	42824	Woj. Dolnośląskie                  
kłodzki                	156283	Woj. Dolnośląskie                  
legnicki               	55110	Woj. Dolnośląskie                  
lubański               	53852	Woj. Dolnośląskie                  
lubiński               	105896	Woj. Dolnośląskie                  
lwówecki               	45599	Woj. Dolnośląskie                  
milicki                	36800	Woj. Dolnośląskie                  
oleśnicki              	107268	Woj. Dolnośląskie                  
oławski                	76733	Woj. Dolnośląskie                  
polkowicki             	62997	Woj. Dolnośląskie                  
strzeliński            	43221	Woj. Dolnośląskie                  
średzki                	55508	Woj. Dolnośląskie                  
świdnicki              	156015	Woj. Dolnośląskie                  
trzebnicki             	85226	Woj. Dolnośląskie                  
wałbrzyski             	55107	Woj. Dolnośląskie                  
wołowski               	46623	Woj. Dolnośląskie                  
wrocławski             	156322	Woj. Dolnośląskie                  
ząbkowicki             	64080	Woj. Dolnośląskie                  
zgorzelecki            	88386	Woj. Dolnośląskie                  
złotoryjski            	43038	Woj. Dolnośląskie                  
M.Jelenia Góra                	78335	Woj. Dolnośląskie                  
M.Legnica                     	98436	Woj. Dolnośląskie                  
M.Wrocław                     	641928	Woj. Dolnośląskie                  
M.Wałbrzych                   	109971	Woj. Dolnośląskie                  
Woj. Kujawsko-pomorskie            	2061942	Woj. Kujawsko-pomorskie            
aleksandrowski         	54891	Woj. Kujawsko-pomorskie            
brodnicki              	79023	Woj. Kujawsko-pomorskie            
bydgoski               	120432	Woj. Kujawsko-pomorskie            
chełmiński             	51657	Woj. Kujawsko-pomorskie            
golubsko-dobrzyński    	44855	Woj. Kujawsko-pomorskie            
grudziądzki            	40305	Woj. Kujawsko-pomorskie            
inowrocławski          	158496	Woj. Kujawsko-pomorskie            
lipnowski              	65450	Woj. Kujawsko-pomorskie            
mogileński             	45482	Woj. Kujawsko-pomorskie            
nakielski              	86119	Woj. Kujawsko-pomorskie            
radziejowski           	40025	Woj. Kujawsko-pomorskie            
rypiński               	43390	Woj. Kujawsko-pomorskie            
sępoleński             	40826	Woj. Kujawsko-pomorskie            
świecki                	98703	Woj. Kujawsko-pomorskie            
toruński               	109565	Woj. Kujawsko-pomorskie            
tucholski              	48322	Woj. Kujawsko-pomorskie            
wąbrzeski              	34040	Woj. Kujawsko-pomorskie            
włocławski             	85646	Woj. Kujawsko-pomorskie            
żniński                	69886	Woj. Kujawsko-pomorskie            
M.Bydgoszcz                   	344091	Woj. Kujawsko-pomorskie            
M.Grudziądz                   	93564	Woj. Kujawsko-pomorskie            
M.Toruń                       	198613	Woj. Kujawsko-pomorskie            
M.Włocławek                   	108561	Woj. Kujawsko-pomorskie            
Woj. Lubelskie                     	2095258	Woj. Lubelskie                     
bialski                	109958	Woj. Lubelskie                     
biłgorajski            	100333	Woj. Lubelskie                     
chełmski               	77502	Woj. Lubelskie                     
hrubieszowski          	62009	Woj. Lubelskie                     
janowski               	45142	Woj. Lubelskie                     
krasnostawski          	62552	Woj. Lubelskie                     
kraśnicki              	94531	Woj. Lubelskie                     
lubartowski            	87850	Woj. Lubelskie                     
lubelski               	156493	Woj. Lubelskie                     
łęczyński              	57218	Woj. Lubelskie                     
łukowski               	106213	Woj. Lubelskie                     
opolski                	58706	Woj. Lubelskie                     
parczewski             	34372	Woj. Lubelskie                     
puławski               	112384	Woj. Lubelskie                     
radzyński              	58298	Woj. Lubelskie                     
rycki                  	55530	Woj. Lubelskie                     
świdnicki              	71432	Woj. Lubelskie                     
tomaszowski            	81944	Woj. Lubelskie                     
włodawski              	37989	Woj. Lubelskie                     
zamojski               	105354	Woj. Lubelskie                     
M.Biała Podlaska              	56942	Woj. Lubelskie                     
M.Chełm                       	61135	Woj. Lubelskie                     
M.Lublin                      	338586	Woj. Lubelskie                     
M.Zamość                      	62785	Woj. Lubelskie                     
Woj. Lubuskie                      	1007145	Woj. Lubuskie                      
gorzowski              	72291	Woj. Lubuskie                      
krośnieński            	54598	Woj. Lubuskie                      
międzyrzecki           	57100	Woj. Lubuskie                      
nowosolski             	85733	Woj. Lubuskie                      
słubicki               	46944	Woj. Lubuskie                      
strzelecko-drezdenecki 	48621	Woj. Lubuskie                      
sulęciński             	35000	Woj. Lubuskie                      
świebodziński          	55520	Woj. Lubuskie                      
wschowski              	38613	Woj. Lubuskie                      
zielonogórski          	75673	Woj. Lubuskie                      
żagański               	78148	Woj. Lubuskie                      
żarski                 	95423	Woj. Lubuskie                      
M.Gorzów Wielkopolski         	122589	Woj. Lubuskie                      
M.Zielona Góra                	140892	Woj. Lubuskie                      
Woj. Łódzkie                       	2437970	Woj. Łódzkie                       
bełchatowski           	112443	Woj. Łódzkie                       
brzeziński             	30648	Woj. Łódzkie                       
kutnowski              	95516	Woj. Łódzkie                       
łaski                  	49736	Woj. Łódzkie                       
łęczycki               	49286	Woj. Łódzkie                       
łowicki                	77614	Woj. Łódzkie                       
łódzki wschodni        	72565	Woj. Łódzkie                       
opoczyński             	75524	Woj. Łódzkie                       
pabianicki             	118941	Woj. Łódzkie                       
pajęczański            	50952	Woj. Łódzkie                       
piotrkowski            	91208	Woj. Łódzkie                       
poddębicki             	40906	Woj. Łódzkie                       
radomszczański         	111696	Woj. Łódzkie                       
rawski                 	48385	Woj. Łódzkie                       
sieradzki              	116918	Woj. Łódzkie                       
skierniewicki          	38173	Woj. Łódzkie                       
tomaszowski            	115735	Woj. Łódzkie                       
wieluński              	75736	Woj. Łódzkie                       
wieruszowski           	41984	Woj. Łódzkie                       
zduńskowolski          	66064	Woj. Łódzkie                       
zgierski               	165850	Woj. Łódzkie                       
M.Łódź                        	672185	Woj. Łódzkie                       
M.Piotrków Trybunalski        	72250	Woj. Łódzkie                       
M.Skierniewice                	47655	Woj. Łódzkie                       
Woj. Małopolskie                   	3410441	Woj. Małopolskie                   
bocheński              	106947	Woj. Małopolskie                   
brzeski                	93035	Woj. Małopolskie                   
chrzanowski            	123664	Woj. Małopolskie                   
dąbrowski              	58977	Woj. Małopolskie                   
gorlicki               	108487	Woj. Małopolskie                   
krakowski              	281440	Woj. Małopolskie                   
limanowski             	132148	Woj. Małopolskie                   
miechowski             	48464	Woj. Małopolskie                   
myślenicki             	127972	Woj. Małopolskie                   
nowosądecki            	217071	Woj. Małopolskie                   
nowotarski             	191646	Woj. Małopolskie                   
olkuski                	110471	Woj. Małopolskie                   
oświęcimski            	152687	Woj. Małopolskie                   
proszowicki            	43057	Woj. Małopolskie                   
suski                  	83761	Woj. Małopolskie                   
tarnowski              	201230	Woj. Małopolskie                   
tatrzański             	68049	Woj. Małopolskie                   
wadowicki              	159662	Woj. Małopolskie                   
wielicki               	130651	Woj. Małopolskie                   
M.Kraków                      	779966	Woj. Małopolskie                   
M.Nowy Sącz                   	83558	Woj. Małopolskie                   
M.Tarnów                      	107498	Woj. Małopolskie                   
Woj. Mazowieckie                   	5425028	Woj. Mazowieckie                   
białobrzeski           	33329	Woj. Mazowieckie                   
ciechanowski           	88891	Woj. Mazowieckie                   
garwoliński            	108634	Woj. Mazowieckie                   
gostyniński            	44581	Woj. Mazowieckie                   
grodziski              	97462	Woj. Mazowieckie                   
grójecki               	97979	Woj. Mazowieckie                   
kozienicki             	59592	Woj. Mazowieckie                   
legionowski            	119882	Woj. Mazowieckie                   
lipski                 	33598	Woj. Mazowieckie                   
łosicki                	30556	Woj. Mazowieckie                   
makowski               	44438	Woj. Mazowieckie                   
miński                 	154951	Woj. Mazowieckie                   
mławski                	72269	Woj. Mazowieckie                   
nowodworski            	79265	Woj. Mazowieckie                   
ostrołęcki             	88497	Woj. Mazowieckie                   
ostrowski              	71790	Woj. Mazowieckie                   
otwocki                	124283	Woj. Mazowieckie                   
piaseczyński           	190606	Woj. Mazowieckie                   
płocki                 	110742	Woj. Mazowieckie                   
płoński                	86671	Woj. Mazowieckie                   
pruszkowski            	166679	Woj. Mazowieckie                   
przasnyski             	52101	Woj. Mazowieckie                   
przysuski              	41126	Woj. Mazowieckie                   
pułtuski               	51741	Woj. Mazowieckie                   
radomski               	152190	Woj. Mazowieckie                   
siedlecki              	81385	Woj. Mazowieckie                   
sierpecki              	51534	Woj. Mazowieckie                   
sochaczewski           	84804	Woj. Mazowieckie                   
sokołowski             	53294	Woj. Mazowieckie                   
szydłowiecki           	39340	Woj. Mazowieckie                   
warszawski zachodni    	120144	Woj. Mazowieckie                   
węgrowski              	65410	Woj. Mazowieckie                   
wołomiński             	252408	Woj. Mazowieckie                   
wyszkowski             	74210	Woj. Mazowieckie                   
zwoleński              	35875	Woj. Mazowieckie                   
żuromiński             	38202	Woj. Mazowieckie                   
żyrardowski            	75370	Woj. Mazowieckie                   
M.Ostrołęka                   	51656	Woj. Mazowieckie                   
M.Płock                       	118268	Woj. Mazowieckie                   
M.Radom                       	209296	Woj. Mazowieckie                   
M.Siedlce                     	77813	Woj. Mazowieckie                   
M.Warszawa                    	1794166	Woj. Mazowieckie                   
Woj. Opolskie                      	976774	Woj. Opolskie                      
brzeski                	89282	Woj. Opolskie                      
głubczycki             	45015	Woj. Opolskie                      
kędzierzyńsko-kozielski	93001	Woj. Opolskie                      
kluczborski            	65026	Woj. Opolskie                      
krapkowicki            	63196	Woj. Opolskie                      
namysłowski            	42543	Woj. Opolskie                      
nyski                  	134864	Woj. Opolskie                      
oleski                 	63788	Woj. Opolskie                      
opolski                	123532	Woj. Opolskie                      
prudnicki              	54765	Woj. Opolskie                      
strzelecki             	73923	Woj. Opolskie                      
M.Opole                       	127839	Woj. Opolskie                      
Woj. Podkarpackie                  	2121229	Woj. Podkarpackie                  
bieszczadzki           	21489	Woj. Podkarpackie                  
brzozowski             	65373	Woj. Podkarpackie                  
dębicki                	134991	Woj. Podkarpackie                  
jarosławski            	119727	Woj. Podkarpackie                  
jasielski              	112863	Woj. Podkarpackie                  
kolbuszowski           	62039	Woj. Podkarpackie                  
krośnieński            	111905	Woj. Podkarpackie                  
leski                  	26375	Woj. Podkarpackie                  
leżajski               	68996	Woj. Podkarpackie                  
lubaczowski            	54711	Woj. Podkarpackie                  
łańcucki               	81226	Woj. Podkarpackie                  
mielecki               	136441	Woj. Podkarpackie                  
niżański               	66221	Woj. Podkarpackie                  
przemyski              	73919	Woj. Podkarpackie                  
przeworski             	77979	Woj. Podkarpackie                  
ropczycko-sędziszowski 	74573	Woj. Podkarpackie                  
rzeszowski             	170550	Woj. Podkarpackie                  
sanocki                	93818	Woj. Podkarpackie                  
stalowowolski          	105431	Woj. Podkarpackie                  
strzyżowski            	61161	Woj. Podkarpackie                  
tarnobrzeski           	52720	Woj. Podkarpackie                  
M.Krosno                      	45944	Woj. Podkarpackie                  
M.Przemyśl                    	59779	Woj. Podkarpackie                  
M.Rzeszów                     	196638	Woj. Podkarpackie                  
M.Tarnobrzeg                  	46360	Woj. Podkarpackie                  
Woj. Podlaskie                     	1173286	Woj. Podlaskie                     
augustowski            	57651	Woj. Podlaskie                     
białostocki            	150845	Woj. Podlaskie                     
bielski                	53695	Woj. Podlaskie                     
grajewski              	46792	Woj. Podlaskie                     
hajnowski              	41991	Woj. Podlaskie                     
kolneński              	37887	Woj. Podlaskie                     
łomżyński              	50819	Woj. Podlaskie                     
moniecki               	40070	Woj. Podlaskie                     
sejneński              	19689	Woj. Podlaskie                     
siemiatycki            	43618	Woj. Podlaskie                     
sokólski               	65883	Woj. Podlaskie                     
suwalski               	35577	Woj. Podlaskie                     
wysokomazowiecki       	56408	Woj. Podlaskie                     
zambrowski             	43191	Woj. Podlaskie                     
M.Białystok                   	296958	Woj. Podlaskie                     
M.Łomża                       	62573	Woj. Podlaskie                     
M.Suwałki                     	69639	Woj. Podlaskie                     
Woj. Pomorskie                     	2346671	Woj. Pomorskie                     
bytowski               	79114	Woj. Pomorskie                     
chojnicki              	97661	Woj. Pomorskie                     
człuchowski            	55835	Woj. Pomorskie                     
gdański                	120327	Woj. Pomorskie                     
kartuski               	141892	Woj. Pomorskie                     
kościerski             	72923	Woj. Pomorskie                     
kwidzyński             	82963	Woj. Pomorskie                     
lęborski               	66083	Woj. Pomorskie                     
malborski              	63204	Woj. Pomorskie                     
nowodworski            	35438	Woj. Pomorskie                     
pucki                  	87568	Woj. Pomorskie                     
słupski                	98832	Woj. Pomorskie                     
starogardzki           	128210	Woj. Pomorskie                     
sztumski               	41104	Woj. Pomorskie                     
tczewski               	115220	Woj. Pomorskie                     
wejherowski            	219457	Woj. Pomorskie                     
M.Gdańsk                      	470805	Woj. Pomorskie                     
M.Gdynia                      	244969	Woj. Pomorskie                     
M.Słupsk                      	89780	Woj. Pomorskie                     
M.Sopot                       	35286	Woj. Pomorskie                     
Woj. Śląskie                       	4492330	Woj. Śląskie                       
będziński              	147259	Woj. Śląskie                       
bielski                	166348	Woj. Śląskie                       
bieruńsko-lędziński    	59823	Woj. Śląskie                       
cieszyński             	177536	Woj. Śląskie                       
częstochowski          	134106	Woj. Śląskie                       
gliwicki               	115416	Woj. Śląskie                       
kłobucki               	84330	Woj. Śląskie                       
lubliniecki            	76109	Woj. Śląskie                       
mikołowski             	99202	Woj. Śląskie                       
